date,open
2017/6/2,49.56
2017/6/5,49.53
2017/6/6,49.47
2017/6/7,49.44
2017/6/8,50.86
2017/6/9,51.61
2017/6/12,50.1
2017/6/13,49.56
2017/6/14,49.64
2017/6/15,49.14
2017/6/16,48.9
2017/6/19,49.13
2017/6/20,49.22
2017/6/21,48.33
2017/6/22,50.5
2017/6/23,49
2017/6/26,48.81
2017/6/27,48.6
2017/6/28,48.82
2017/6/29,49.28
2017/6/30,49.92
2017/7/3,50.78
2017/7/5,50.44
2017/7/6,50.97
2017/7/7,52.3
2017/7/10,52.98
2017/7/11,52.58
2017/7/12,53.12
2017/7/13,53.4
2017/7/14,53.8
2017/7/17,54.21
2017/7/18,53.83
2017/7/19,52.26
2017/7/20,52.72
2017/7/21,52.13
2017/7/24,51.79
2017/7/25,51.5
2017/7/26,50.63
2017/7/27,50.34
2017/7/28,49.02
2017/7/31,50.85
2017/8/1,51.13
2017/8/2,50.89
2017/8/3,50.56
2017/8/4,50.67
2017/8/7,50.82
2017/8/8,50.68
2017/8/9,49.74
2017/8/10,49.03
2017/8/11,48.5
2017/8/14,48.86
2017/8/15,48.76
2017/8/16,48.64
2017/8/17,48.25
2017/8/18,46.3
2017/8/21,45.73
2017/8/22,45.85
2017/8/23,45.17
2017/8/24,44.13
2017/8/25,43.09
2017/8/28,45.23
2017/8/29,44.53
2017/8/30,44.54
2017/8/31,44.54
2017/9/1,44.85
2017/9/5,44.79
2017/9/6,43.09
2017/9/7,44.19
2017/9/8,43.81
2017/9/11,44.01
2017/9/12,45.9
2017/9/13,46.35
2017/9/14,46.79
2017/9/15,45.3
2017/9/18,46.02
2017/9/19,45.28
2017/9/20,44.92
2017/9/21,45.47
2017/9/22,46.57
2017/9/25,46.98
2017/9/26,47.84
2017/9/27,47.58
2017/9/28,46.78
2017/9/29,47.49
2017/10/2,47.52
2017/10/3,47.66
2017/10/4,50.5
2017/10/5,50.85
2017/10/6,50.7
2017/10/9,51.23
2017/10/10,52
2017/10/11,53.1
2017/10/12,52.72
2017/10/13,52.67
2017/10/16,52.52
2017/10/17,52.72
2017/10/18,52.11
2017/10/19,51.57
2017/10/20,51.56
2017/10/23,51.92
2017/10/24,51.02
2017/10/25,51.78
2017/10/26,52
2017/10/27,48.41
2017/10/30,47.65
2017/10/31,47.22
2017/11/1,48
2017/11/2,47.79
2017/11/3,47.36
2017/11/6,47.46
2017/11/7,47.51
2017/11/8,46.42
2017/11/9,45.85
2017/11/10,45.64
2017/11/13,45.63
2017/11/14,45.3
2017/11/15,45.71
2017/11/16,47.26
2017/11/17,47.6
